iter	Passed	Remaining
0	111	111690
1	112	56226
2	114	37892
3	115	28688
4	116	23190
5	117	19503
6	118	16858
7	119	14855
8	120	13313
9	121	12053
10	122	11023
11	123	10174
12	124	9446
13	125	8823
14	125	8269
15	126	7793
16	127	7365
17	128	6987
18	128	6638
19	129	6333
20	130	6061
21	130	5814
22	131	5587
23	132	5377
24	132	5183
25	133	5009
26	134	4848
27	135	4699
28	136	4557
29	136	4424
30	137	4294
31	138	4180
32	138	4071
33	139	3969
34	140	3871
35	141	3778
36	141	3692
37	142	3607
38	143	3526
39	143	3454
40	144	3379
41	145	3311
42	145	3247
43	146	3184
44	147	3124
45	147	3066
46	148	3011
47	149	2959
48	149	2908
49	150	2859
50	151	2811
51	151	2765
52	152	2721
53	152	2679
54	153	2638
55	154	2599
56	154	2561
57	155	2524
58	156	2490
59	156	2456
60	157	2422
61	157	2390
62	158	2359
63	159	2328
64	159	2299
65	160	2269
66	161	2242
67	161	2211
68	161	2184
69	162	2159
70	163	2135
71	163	2111
72	164	2088
73	165	2066
74	165	2043
75	166	2022
76	167	2002
77	167	1982
78	168	1962
79	168	1942
80	169	1923
81	170	1904
82	170	1886
83	171	1867
84	171	1848
85	172	1830
86	172	1812
87	173	1795
88	173	1779
89	174	1764
90	175	1748
91	175	1734
92	176	1720
93	177	1706
94	177	1692
95	178	1678
96	178	1666
97	179	1653
98	180	1641
99	181	1629
100	181	1617
101	182	1602
102	182	1590
103	183	1579
104	183	1567
105	184	1555
106	185	1544
107	185	1533
108	186	1522
109	186	1511
110	187	1501
111	188	1491
112	188	1481
113	189	1470
114	189	1461
115	190	1451
116	190	1441
117	191	1431
118	192	1421
119	192	1412
120	193	1403
121	193	1395
122	194	1384
123	194	1376
124	195	1368
125	196	1360
126	196	1352
127	197	1344
128	198	1337
129	198	1329
130	199	1322
131	199	1314
132	200	1306
133	201	1299
134	201	1292
135	202	1286
136	203	1279
137	203	1271
138	204	1264
139	204	1257
140	205	1251
141	206	1245
142	206	1238
143	207	1233
144	208	1227
145	208	1221
146	209	1214
147	209	1208
148	210	1202
149	211	1196
150	211	1190
151	212	1184
152	213	1179
153	213	1173
154	214	1168
155	214	1162
156	215	1157
157	216	1152
158	216	1147
159	217	1141
160	218	1136
161	218	1132
162	219	1127
163	220	1122
164	220	1118
165	221	1113
166	222	1109
167	223	1104
168	223	1100
169	224	1095
170	225	1091
171	225	1086
172	226	1082
173	227	1078
174	227	1073
175	228	1069
176	229	1065
177	229	1060
178	230	1056
179	231	1052
180	231	1046
181	231	1042
182	232	1038
183	233	1034
184	233	1030
185	234	1026
186	235	1022
187	235	1018
188	236	1014
189	236	1009
190	237	1006
191	238	1002
192	238	999
193	239	996
194	240	992
195	240	988
196	241	984
197	242	981
198	243	978
199	243	975
200	244	972
201	245	968
202	245	965
203	246	961
204	247	958
205	247	954
206	248	951
207	248	948
208	249	944
209	250	941
210	250	938
211	251	935
212	252	931
213	252	928
214	253	925
215	254	922
216	254	918
217	255	915
218	255	912
219	256	909
220	257	906
221	257	902
222	258	899
223	258	896
224	259	893
225	260	890
226	260	887
227	261	884
228	261	881
229	262	878
230	263	875
231	263	872
232	264	870
233	264	867
234	265	864
235	266	861
236	266	858
237	267	855
238	267	853
239	268	850
240	269	847
241	269	844
242	270	842
243	271	839
244	271	837
245	272	834
246	272	832
247	273	829
248	274	826
249	274	824
250	275	821
251	275	819
252	276	816
253	277	814
254	277	811
255	278	809
256	279	806
257	279	804
258	280	802
259	280	799
260	281	797
261	282	795
262	282	792
263	283	790
264	284	788
265	284	786
266	285	783
267	286	781
268	286	779
269	287	777
270	288	774
271	288	772
272	289	770
273	290	768
274	290	766
275	291	764
276	291	762
277	292	759
278	293	757
279	293	755
280	294	753
281	295	751
282	295	749
283	296	747
284	296	744
285	297	742
286	298	740
287	298	738
288	299	736
289	300	734
290	300	732
291	301	730
292	302	728
293	302	727
294	303	724
295	303	723
296	304	720
297	305	719
298	305	717
299	306	714
300	307	713
301	307	711
302	308	709
303	309	707
304	309	705
305	310	703
306	310	701
307	311	700
308	312	698
309	313	696
310	313	694
311	314	693
312	314	691
313	315	689
314	316	687
315	316	686
316	317	684
317	318	682
318	318	680
319	319	679
320	320	677
321	320	675
322	321	673
323	322	672
324	322	670
325	323	668
326	324	666
327	324	665
328	325	663
329	326	662
330	326	660
331	327	658
332	327	656
333	328	655
334	329	653
335	329	651
336	330	650
337	331	648
338	331	646
339	332	645
340	332	643
341	333	642
342	334	640
343	335	639
344	335	637
345	336	635
346	336	634
347	337	632
348	338	630
349	338	629
350	339	627
351	340	625
352	340	624
353	341	622
354	341	621
355	342	619
356	343	617
357	343	616
358	344	614
359	345	613
360	345	611
361	346	610
362	346	608
363	347	607
364	348	605
365	348	604
366	349	602
367	350	601
368	350	600
369	351	598
370	352	597
371	352	595
372	353	594
373	354	592
374	354	591
375	355	589
376	356	588
377	356	587
378	357	585
379	358	584
380	358	582
381	359	581
382	359	579
383	360	578
384	361	576
385	361	575
386	362	574
387	363	572
388	363	571
389	365	570
390	365	569
391	366	568
392	367	566
393	367	565
394	368	564
395	369	562
396	369	561
397	370	560
398	371	559
399	371	557
400	372	556
401	373	555
402	373	553
403	374	552
404	375	551
405	375	549
406	376	548
407	377	547
408	377	546
409	378	544
410	379	543
411	379	542
412	380	540
413	381	539
414	381	538
415	382	536
416	383	535
417	383	534
418	384	533
419	385	531
420	385	530
421	386	529
422	387	528
423	387	526
424	388	525
425	389	524
426	389	523
427	390	521
428	391	520
429	391	519
430	392	518
431	393	516
432	393	515
433	394	514
434	395	513
435	395	511
436	396	510
437	396	509
438	397	508
439	398	506
440	398	505
441	399	504
442	400	503
443	400	502
444	401	500
445	402	499
446	402	498
447	403	497
448	404	495
449	404	494
450	405	493
451	406	492
452	407	492
453	408	490
454	408	489
455	409	488
456	410	487
457	410	485
458	411	484
459	411	483
460	412	482
461	413	481
462	413	479
463	414	478
464	414	477
465	415	476
466	416	474
467	416	473
468	417	472
469	418	471
470	418	470
471	419	469
472	420	467
473	420	466
474	421	465
475	421	464
476	422	463
477	423	462
478	423	461
479	424	459
480	425	458
481	425	457
482	426	456
483	427	455
484	427	454
485	428	453
486	429	451
487	429	450
488	430	449
489	430	448
490	431	447
491	432	446
492	432	444
493	433	443
494	433	442
495	434	441
496	435	440
497	435	439
498	436	438
499	437	437
500	437	435
501	438	434
502	438	433
503	439	432
504	440	431
505	440	430
506	441	429
507	442	428
508	442	427
509	443	426
510	444	424
511	444	423
512	445	422
513	446	421
514	446	420
515	447	419
516	448	418
517	448	417
518	449	416
519	449	415
520	450	414
521	451	413
522	451	411
523	452	410
524	453	409
525	453	408
526	454	407
527	454	406
528	455	405
529	456	404
530	456	403
531	457	402
532	458	401
533	458	400
534	459	399
535	460	398
536	460	397
537	461	396
538	462	395
539	462	394
540	463	393
541	464	392
542	464	391
543	465	390
544	466	389
545	466	388
546	467	387
547	468	386
548	468	385
549	469	384
550	470	383
551	470	382
552	471	381
553	472	380
554	472	379
555	473	378
556	474	377
557	475	376
558	475	375
559	476	374
560	477	373
561	477	372
562	478	371
563	479	370
564	479	369
565	480	368
566	481	367
567	481	366
