iter	Passed	Remaining
0	103	103593
1	104	52390
2	110	36759
3	112	28084
4	116	23202
5	119	19771
6	121	17247
7	123	15323
8	125	13819
9	130	12908
10	132	11875
11	133	11016
12	136	10360
13	138	9741
14	139	9146
15	139	8601
16	140	8133
17	141	7723
18	142	7348
19	143	7009
20	143	6708
21	144	6430
22	145	6176
23	146	5943
24	146	5732
25	148	5552
26	149	5384
27	151	5247
28	152	5099
29	153	4951
30	153	4810
31	154	4677
32	155	4552
33	155	4432
34	156	4318
35	158	4231
36	159	4143
37	159	4048
38	160	3958
39	161	3873
40	162	3796
41	163	3720
42	163	3649
43	164	3584
44	165	3518
45	166	3455
46	167	3394
47	168	3336
48	169	3282
49	169	3227
50	170	3176
51	171	3126
52	172	3078
53	173	3033
54	174	2990
55	174	2947
56	175	2903
57	176	2863
58	176	2821
59	177	2784
60	178	2747
61	179	2712
62	180	2683
63	181	2653
64	182	2625
65	183	2593
66	184	2562
67	184	2532
68	185	2501
69	186	2471
70	186	2445
71	187	2422
72	188	2399
73	189	2374
74	190	2348
75	191	2323
76	191	2298
77	192	2275
78	193	2253
79	193	2230
80	194	2212
81	196	2195
82	196	2171
83	197	2151
84	197	2130
85	198	2111
86	199	2092
87	200	2073
88	200	2054
89	201	2039
90	202	2026
91	203	2010
92	204	1995
93	205	1978
94	205	1961
95	206	1945
96	207	1929
97	208	1914
98	208	1900
99	209	1889
100	210	1876
101	211	1863
102	212	1848
103	213	1835
104	213	1822
105	214	1809
106	215	1796
107	215	1783
108	216	1773
109	217	1762
110	218	1751
111	219	1740
112	220	1727
113	220	1715
114	221	1704
115	222	1693
116	222	1680
117	223	1670
118	224	1660
119	225	1652
120	226	1642
121	226	1632
122	227	1621
123	228	1611
124	228	1601
125	229	1592
126	230	1581
127	230	1571
128	231	1562
129	232	1556
130	233	1550
131	234	1542
132	235	1533
133	235	1524
134	236	1516
135	237	1507
136	237	1499
137	238	1491
138	239	1484
139	240	1477
140	241	1470
141	241	1461
142	242	1453
143	243	1446
144	244	1438
145	244	1431
146	245	1423
147	246	1416
148	246	1410
149	248	1405
150	248	1399
151	249	1392
152	250	1386
153	251	1379
154	251	1372
155	252	1365
156	253	1358
157	253	1352
158	254	1348
159	256	1344
160	256	1337
161	257	1331
162	258	1326
163	259	1320
164	259	1314
165	260	1308
166	261	1302
167	261	1297
168	263	1293
169	263	1288
170	264	1283
171	265	1277
172	266	1272
173	266	1266
174	267	1260
175	268	1255
176	269	1250
177	270	1250
178	271	1246
179	272	1240
180	273	1235
181	273	1230
182	274	1226
183	275	1221
184	275	1215
185	276	1211
186	277	1208
187	278	1204
188	279	1200
189	280	1195
190	281	1190
191	281	1185
192	282	1180
193	283	1175
194	283	1171
195	286	1173
196	287	1170
197	287	1166
198	288	1161
199	289	1157
200	290	1153
201	290	1149
202	291	1145
203	292	1142
204	293	1139
205	294	1135
206	295	1130
207	295	1126
208	296	1122
209	297	1118
210	297	1114
211	298	1110
212	299	1106
213	300	1103
214	301	1100
215	302	1096
216	302	1092
217	303	1088
218	304	1084
219	304	1080
220	305	1076
221	306	1072
222	307	1070
223	308	1068
224	309	1065
225	310	1062
226	310	1058
227	311	1054
228	312	1050
229	312	1047
230	313	1043
231	314	1040
232	315	1038
233	316	1034
234	316	1031
235	317	1028
236	318	1024
237	319	1021
238	319	1017
239	320	1014
240	321	1011
241	322	1008
242	322	1005
243	323	1003
244	324	1000
245	325	997
246	326	994
247	326	991
248	327	988
249	328	985
250	329	983
251	330	980
252	331	977
253	331	974
254	332	971
255	333	968
256	333	965
257	334	962
258	335	958
259	335	956
260	336	953
261	337	951
262	338	948
263	339	946
264	340	943
265	340	940
266	341	937
267	342	934
268	342	931
269	343	929
270	345	928
271	345	925
272	346	923
273	347	920
274	348	917
275	348	915
276	349	912
277	350	909
278	351	907
279	352	905
280	353	903
281	353	901
282	354	898
283	355	895
284	355	892
285	356	890
286	357	887
287	357	884
288	359	884
289	360	882
290	361	880
291	362	877
292	362	875
293	363	873
294	364	870
295	365	868
296	365	866
297	367	864
298	368	863
299	368	860
300	369	858
301	370	855
302	371	853
303	371	850
304	372	848
305	373	846
306	373	844
307	374	842
308	375	840
309	376	838
310	377	836
311	378	833
312	379	831
